RANK,PREVIOUS,SCHOOL,CONFERENCE,RECORD,ROAD,NEUTRAL,HOME,QUAD 1,QUAD 2,QUAD 1+2 W,QUAD 3,QUAD 4,QUAD 3+4 L
21,18,Wisconsin,Big Ten,22-13,3-9,5-1,14-3,5-9,9-4,14,4-0,4-0,0
22,22,New Mexico,Mountain West,25-9,5-6,8-0,12-3,5-6,3-1,8,7-1,10-1,2
23,23,Dayton,Atlantic 10,24-7,6-5,3-2,15-0,3-4,5-3,8,9-0,7-0,0
24,24,Michigan St.,Big Ten,19-14,3-7,2-3,14-4,3-9,6-5,9,6-0,4-0,0
25,25,Colorado,Pac-12,24-10,4-7,4-2,16-1,4-5,6-5,10,7-0,7-0,0
26,27,Boise St.,Mountain West,20-10,7-3,2-4,11-3,6-5,3-4,9,3-1,8-0,1
27,28,Texas Tech,Big 12,23-10,4-6,4-2,15-2,6-9,4-1,10,6-0,7-0,0
28,29,Indiana St.,MVC,27-6,9-4,6-1,12-1,1-4,4-1,5,10-0,12-1,1
29,26,Florida,SEC,24-11,3-7,7-3,14-1,6-8,4-2,10,9-1,5-0,1
30,30,Texas,Big 12,20-12,4-6,2-2,14-4,5-9,3-2,8,5-1,7-0,1
31,31,Mississippi St.,SEC,21-13,2-8,8-1,11-4,4-9,4-3,8,7-0,6-1,1
32,32,St. John's (NY),Big East,20-13,5-6,2-2,13-5,4-10,6-2,10,3-1,7-0,1
33,33,Nebraska,Big Ten,23-10,3-8,2-1,18-1,4-7,5-3,9,7-0,7-0,0
34,34,Nevada,Mountain West,25-7,8-3,3-2,14-2,6-6,2-0,8,8-1,9-0,1
35,35,Clemson,ACC,21-11,6-6,3-1,12-4,5-5,5-5,10,6-1,5-0,1
36,36,Colorado St.,Mountain West,22-10,4-7,5-1,13-2,6-7,3-2,9,7-1,6-0,1
37,37,Cincinnati,Big 12,20-14,4-7,2-2,14-5,4-11,3-1,7,4-2,9-0,2
38,38,Utah St.,Mountain West,25-6,8-4,5-1,12-1,4-5,4-1,8,7-0,10-0,0
39,39,Fla. Atlantic,AAC,25-8,5-5,7-2,13-1,2-2,8-3,10,8-1,7-2,3
40,40,Pittsburgh,ACC,22-11,7-4,2-2,13-5,4-6,5-3,9,6-2,7-0,2
41,41,Villanova,Big East,18-15,4-8,4-2,10-5,4-11,5-1,9,3-3,6-0,3
42,42,TCU,Big 12,21-12,6-5,3-3,12-4,5-11,3-1,8,5-0,8-0,0
43,43,Wake Forest,ACC,20-13,2-9,2-3,16-1,2-8,7-4,9,5-1,6-0,1
44,44,Washington St.,Pac-12,24-9,6-4,3-3,15-2,6-4,3-4,9,7-1,8-0,1
45,45,Texas A&M,SEC,20-14,6-6,4-3,10-5,7-7,6-3,13,2-4,5-0,4
46,46,Oklahoma,Big 12,20-12,3-6,3-2,14-4,4-12,5-0,9,3-0,8-0,0
47,47,Drake,MVC,27-6,6-5,6-1,15-0,4-1,3-3,7,9-2,11-0,2
